frame,object_name,yolo_confidence,depth_ft,used_vlm,output_text,latency_ms,direction
1738,person,0.309,27.59,0,[FAST MODE - HIGH CONF],167.6,left
1739,person,0.387,26.16,0,[FAST MODE - HIGH CONF],171.41,left
1740,person,0.368,26.29,0,[FAST MODE - HIGH CONF],141.34,left
1741,person,0.274,27.06,0,[FAST MODE - HIGH CONF],150.82,left
1742,,,,0,,146.62,none
1743,person,0.305,26.42,0,[FAST MODE - HIGH CONF],167.62,left
1744,person,0.279,26.84,0,[FAST MODE - HIGH CONF],161.88,left
1745,person,0.37,27.2,0,[FAST MODE - HIGH CONF],144.26,left
1746,person,0.256,27.69,0,[FAST MODE - HIGH CONF],159.07,right
1747,person,0.301,26.19,0,[FAST MODE - HIGH CONF],170.4,left
1748,,,,0,,160.61,none
1749,person,0.263,26.59,0,[FAST MODE - HIGH CONF],150.22,left
1750,person,0.323,25.97,0,[FAST MODE - HIGH CONF],161.49,left
1751,person,0.278,28.34,0,[FAST MODE - HIGH CONF],132.8,right
1752,person,0.312,28.1,0,[FAST MODE - HIGH CONF],153.93,right
